Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2023-10-25,124.74959564208984,127.43109811714302,124.21329363165228,127.28213165074476,84366200
2023-10-26,121.44239807128906,123.47835889189942,120.43931430693331,122.42561458962273,57061100
2023-10-27,121.33314514160156,122.46533564236815,119.38657186700053,122.0382807989468,44566500
2023-10-30,123.60747528076172,124.54103891080094,121.90918931644462,122.36603750768184,28940100
2023-10-31,123.23007202148438,124.51123661998803,121.84959392373723,124.20335492205861,26292300
2023-11-01,125.5838394165039,125.62356633365168,122.87254362109682,123.2201446747215,30082400
2023-11-02,126.61671447753906,128.09650612590542,126.06055280075913,127.54034444912548,27124600
2023-11-03,128.21571350097656,128.64276086828096,126.98420163781151,127.1431093274337,26393100
2023-11-06,129.35781860351562,129.4471984879827,127.78863940770145,128.16604134781133,19052700
2023-11-07,130.07289123535156,131.00645490781392,128.99036108505814,129.81467762235425,29757300
2023-11-08,130.93690490722656,131.30438074733325,129.88416823105302,130.0728691738139,26425800
2023-11-09,129.34786987304688,131.64204409766117,129.17903618057173,131.0560891965532,23747800
2023-11-10,131.6817626953125,131.8903308755952,128.5235527815123,129.20882874695465,26913300
2023-11-13,131.1852264404297,131.68180161673925,130.35098378125488,130.87735225580124,18324800
2023-11-14,132.70472717285156,134.7704814431392,132.4067942311074,133.27083007070482,32395200
2023-11-15,133.69786071777344,134.10505589307232,132.65506524316734,133.94614824111162,23861500
2023-11-16,135.99203491210938,136.28005692536698,133.3999277183977,134.26396344963493,28013200
2023-11-17,134.38314819335938,135.12801082704152,132.73451526045164,135.06842424103002,37240600
2023-11-20,135.3166961669922,135.72389133009685,132.70470665032983,132.7742344288309,27815500
2023-11-21,136.0317840576172,136.2403371131516,135.02870781151344,135.35643404163898,22635300
2023-11-22,137.54136657714844,138.46498892143381,136.52834920416745,136.52834920416745,17813900
2023-11-24,135.75369262695312,137.1838312275909,135.05849057227317,137.08451015366452,12514300
2023-11-27,135.47560119628906,137.47182733003615,135.06840604105298,135.0981993300442,23436500
2023-11-28,136.26019287109375,136.30985340774254,134.49238687712713,135.14786959064773,18730000
2023-11-29,134.06533813476562,137.3427213579803,133.916356526449,136.6276672242787,23967200
2023-11-30,131.6221923828125,134.6215101750712,130.3807546555512,134.12493508416668,38988300
2023-12-01,130.956787109375,131.2050746615197,129.77493593648308,130.956787109375,31442300
2023-12-04,128.384521484375,129.1393101272626,127.02390307918412,128.9903436695441,36669900
2023-12-05,130.09274291992188,131.2348595247084,127.37150606769525,128.06670813818567,27384800
2023-12-06,129.12939453125,130.93692003300382,128.99035410803816,130.53966601076132,23576200
2023-12-07,135.99203491210938,137.61087441248972,133.77731444870147,134.11498184317722,56767100
